name,income_group,pop_n,Urban,Basic,Limited,Unimproved,Surface,Basic,Limited,Unimproved,Surface,Basic,Limited,Unimproved,Surace,value_cnt,pop_u_val,Rural,pop_n (m),pop_n (m) rounded,wat_bas_n (rounded),pop_u (rounded),pop_r (rounded)
Burkina Faso,Low income,20903.27734,30.60700035,47.21485446,31.2730034,21.15863263,0.3535095024,32.7182589,38.62690254,28.3404457,0.3143928626,80.08191854,14.60004919,4.875836487,0.4421957805,16,6397.866169,69.39299965,20903277.34,21,47,31,69
Myanmar,Lower middle income,54409.79297,31.14100075,83.71819191,1.595436949,5.10942478,9.576946362,78.42256469,2.316962142,6.592393694,12.66807947,95.42788606,0,1.830283006,2.741830931,16,16943.75404,68.85899925,54409792.97,55,84,31,69
Zimbabwe,Lower middle income,14862.92676,32.24200058,62.66645761,14.1975397,16.27785545,6.858147242,48.28242885,18.59098467,23.01364655,10.11293992,92.89512895,4.964517757,2.122298674,0.01805461538,16,4792.104932,67.75799942,14862926.76,15,63,32,68
Sudan,Low income,43849.26953,35.25299835,60.4486756,26.67001975,3.650217875,9.231086774,53.19902707,27.45764451,5.637660008,13.70566842,73.76365956,25.22343986,0,1.012900581,16,15458.18226,64.74700165,43849269.53,44,60,35,65
United Republic of Tanzania,Lower middle income,59734.21484,35.22700119,60.71679759,11.29007067,14.51775136,13.47538038,45.44696534,13.98368881,21.21996133,19.34938452,88.7939249,6.337231166,2.194178786,2.674665152,16,21042.57257,64.77299881,59734214.84,60,61,35,65
India,Lower middle income,1380004.375,34.9260025,90.48952503,4.983602562,3.963153945,0.5637184626,88.78250313,5.902210054,4.57637573,0.7389110856,93.6700363,3.272056027,2.820607523,0.2373001538,16,481980.3625,65.0739975,1380004375,1381,90,35,65
Lao People's Democratic Republic,Lower middle income,7275.556152,36.29000092,85.21974318,3.566857739,10.62886799,0.5845310938,78.47295942,5.598583786,15.0109696,0.9174871957,97.06426222,0,2.935737778,0,16,2640.299394,63.70999908,7275556.152,8,85,36,64
Kyrgyzstan,NAN,6524.190918,36.85599899,91.69930522,1.900734111,1.8656487,4.534311965,87.258429,2.606070485,2.954593684,7.180906832,99.30769231,0.6923076923,0,0,16,2404.555739,63.14400101,6524190.918,7,92,37,63
Guinea,Low income,13132.79199,36.875,63.96178874,21.2815915,6.296119406,8.460500354,50.74817899,26.14432944,9.704719143,13.40277243,86.58169007,12.95724153,0.461068398,0,16,4842.717046,63.125,13132791.99,14,64,37,63
Mozambique,Low income,31255.43555,37.0739975,63.36942563,9.975784507,16.72614511,9.928644759,48.8666865,12.64088359,23.6862564,14.80617352,87.98504792,5.452291027,4.912684644,1.649976404,16,11587.63939,62.9260025,31255435.55,32,63,37,63
Viet Nam,Lower middle income,97338.58594,37.34000015,96.88435687,0,3.115643126,0,95.51453844,0,4.48546156,0,99.18304001,0,0.816959987,0,16,36346.22814,62.65999985,97338585.94,98,97,37,63
Pakistan,Lower middle income,220892.3281,37.16500092,90.14896508,3.822279525,4.413307574,1.61544782,88.59986076,3.852278117,5.174596509,2.373264617,92.76804985,3.771561162,3.126184571,0.3342044223,16,82094.63577,62.83499908,220892328.1,221,90,37,63
Yemen,Low income,29825.96875,37.90799713,60.66356984,28.9627418,7.77785276,2.595835594,50.68133437,33.53021373,11.60782393,4.180627978,77.01412934,21.48137937,1.504491286,0,16,11306.42738,62.09200287,29825968.75,30,61,38,62
Bangladesh,Lower middle income,164689.3906,38.17700195,97.69796025,1.156425878,0.4626557002,0.6829581735,97.88023776,0.8581049804,0.3164802414,0.9451770151,97.40277797,1.639520121,0.6993752147,0.2583266934,16,62873.47186,61.82299805,164689390.6,165,98,38,62
Madagascar,Low income,27691.01953,38.5340004,53.38588491,2.71797298,32.31145967,11.58468244,36.40642028,1.601776163,43.95389345,18.03791011,80.47000694,4.498430298,13.74049434,1.291068417,16,10670.45758,61.4659996,27691019.53,28,53,39,61
Saint Helena,NAN,6.071000099,40.08200073,99.1,0,0.9,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,16,2.433378304,59.91799927,6071.000099,1,99,40,60
Maldives,Upper middle income,540.5419922,40.66899872,99.5444386,0.0480506913,0.407510705,0,99.9190125,0.0809875,0,0,98.99798893,0,1.002011069,0,16,219.8330159,59.33100128,540541.9922,1,100,41,59
Mauritius,Upper middle income,1271.766968,40.75999832,99.8662547,0,0.1337453014,0,99.82768234,0,0.1723176618,0,99.92231522,0,0.07768478119,0,16,518.3721948,59.24000168,1271766.968,2,100,41,59
Faeroe Islands,High income,48.86500168,42.39799881,100,0,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,16,20.71778283,57.60200119,48865.00168,1,100,42,58
Bhutan,Lower middle income,771.6119995,42.31599808,97.31322263,2.460712607,0.1764242183,0.04964054142,96.73119365,3.268806351,0,0,98.10662849,1.3591415,0.4169208475,0.1173091586,16,326.5153189,57.68400192,771611.9995,1,97,42,58
Central African Republic,Low income,4829.76416,42.19799805,37.20240205,25.68237348,33.53911377,3.576110708,28.10659415,19.4058899,46.37307301,6.114442944,49.66166495,34.27978009,15.95940214,0.09915281712,16,2038.063786,57.80200195,4829764.16,5,37,42,58
Republic of Moldova,Upper middle income,4033.962891,42.84900284,90.56996224,1.519776762,7.910260997,0,85.48103812,1.52256302,12.99639886,0,97.35744448,1.516060408,1.126495111,0,16,1728.512874,57.15099716,4033962.891,5,91,43,57
Sierra Leone,Low income,7976.984863,42.92300034,63.76628562,9.023316357,,15.5639457,11.64645233,5.221136889,23.14294909,18.88321135,78.41163766,14.07927743,5.485735437,2.023349475,15,3423.96124,57.07699966,7976984.863,8,64,43,57
Togo,Low income,8278.737305,42.79999924,68.58372009,6.065434765,14.16432245,11.18652269,52.11755275,8.187542019,20.7910842,18.90382103,90.58991001,3.229348056,5.307990528,0.8727514049,16,3543.299504,57.20000076,8278737.305,9,69,43,57
Egypt,Lower middle income,102334.4063,42.78300095,99.44017596,0.2376091086,0.3222149265,0,99.33283515,0.3359418224,0.3312230319,0,99.5837311,0.1061012067,0.3101676943,0,16,43781.73002,57.21699905,102334406.3,103,99,43,57
Guinea-Bissau,Low income,1967.998047,44.19599915,59.01691221,14.03457137,26.6263769,0.3221395192,49.8319053,9.285773026,40.31645129,0.5658703845,70.61434791,20.03063358,9.340625284,0.01439322693,16,869.7764001,55.80400085,1967998.047,2,59,44,56
Mali,Low income,20250.83398,43.90900421,82.54729103,3.854734527,12.24697135,1.35100309,72.08089521,3.78241223,21.72810084,2.408591717,95.91745475,3.947121723,0.1354235314,0,16,8891.939545,56.09099579,20250833.98,21,83,44,56
Zambia,Low income,18383.95508,44.6289978,65.41238357,6.15393902,21.57684071,6.856836706,48.22728833,8.331703613,31.60865444,11.83235362,86.73385466,3.451996194,9.130414105,0.6837350463,16,8204.574908,55.3710022,18383955.08,19,65,45,55
Niue,NAN,1.618000031,46.20200348,97.01087618,0,2.989123822,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,16,0.7475484306,53.79799652,1618.000031,1,97,46,54
Mayotte,NAN,272.8129883,45.75099945,96.37117971,0,3.628820295,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,16,124.8146688,54.24900055,272812.9883,1,96,46,54
Belize,Upper middle income,397.6210022,46.02500153,98.40195463,1.249110629,0.3489347411,0,97.99520758,1.358317682,0.6464747393,0,98.87896,1.12104,0,0,16,183.0050723,53.97499847,397621.0022,1,98,46,54
Somalia,Low income,15893.21875,46.14099884,56.47697339,27.70419956,13.41704303,2.401784021,37.07586282,36.64324958,21.82149546,4.459392143,79.12330574,17.26991556,3.606778703,0,16,7333.289879,53.85900116,15893218.75,16,56,46,54
Democratic Republic of the Congo,Lower middle income,89561.40625,45.63800049,45.95212696,13.44122447,32.54231607,8.064332495,21.98279234,12.68294146,51.21598167,14.11828453,74.50335478,14.34445818,10.29905862,0.8531284131,16,40874.03502,54.36199951,89561406.25,90,46,46,54
Philippines,Lower middle income,109581.0859,47.40799713,94.10903456,2.856486137,3.034479307,0,91.06193322,3.959520428,4.978546347,0,97.4893325,1.632836465,0.877831036,0,16,51950.19806,52.59200287,109581085.9,110,94,47,53
Benin,Lower middle income,12123.19824,48.4149971,65.41412299,9.317535586,21.97254088,3.295800547,58.05226799,12.70520504,23.97796833,5.264558634,73.25800004,5.708056353,19.83580681,1.198136794,16,5869.446076,51.5850029,12123198.24,13,65,48,52
Senegal,Lower middle income,16743.92969,48.12200165,84.90523779,2.387217509,12.60781566,0.09972904042,75.2429282,4.052382433,20.51245174,0.1922376314,95.32170094,0.5920836567,4.086215402,0,16,8057.514122,51.87799835,16743929.69,17,85,48,52
British Virgin Islands,High income,30.23699951,48.51499939,99.86438356,0,0.1356164384,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,16,14.66948013,51.48500061,30236.99951,1,100,49,51
Bosnia and Herzegovina,Upper middle income,3280.814941,49.02000046,96.11389762,3.823663938,0.06243843752,0,97.33333333,2.666666667,0,0,94.8457044,5.026922206,0.1273733928,0,16,1608.255499,50.97999954,3280814.941,4,96,49,51
Uzbekistan,Lower middle income,33469.19922,50.41599655,97.82878485,0,0.22384422,1.947370925,96.07258236,0,0,3.927417637,99.55600556,0,0.4439944434,0,16,16873.83032,49.58400345,33469199.22,34,98,50,50
Thailand,Upper middle income,69799.97656,51.43000031,100,0,0,0,100,0,0,0,100,0,0,0,16,35898.12816,48.56999969,69799976.56,70,100,51,49
Namibia,Upper middle income,2540.916016,52.03300095,84.27003628,7.08762751,3.740143722,4.902192485,71.25616743,11.97218925,7.081803759,9.689839563,96.26696535,2.584758965,0.6596102638,0.4886654211,16,1322.114855,47.96699905,2540916.016,3,84,52,48
Liberia,Low income,5057.676758,52.08899689,75.26179159,8.700657475,3.488080869,12.54947006,64.10021689,6.537775797,3.383709875,25.97829744,85.52810963,10.69005698,3.58408039,0.1977530006,16,2634.493089,47.91100311,5057676.758,6,75,52,48
Guatemala,Upper middle income,17915.56641,51.83599854,94.00642827,1.034150511,3.215911815,1.743509404,90.1193298,1.849169999,4.583438691,3.448061508,97.61816944,0.2768660057,1.94525887,0.1597056849,16,9286.712743,48.16400146,17915566.41,18,94,52,48
Côte d'Ivoire,Lower middle income,26378.27539,51.70599747,70.90907039,8.935421702,14.19244161,5.963066293,55.72244686,13.34316829,23.17527956,7.759105289,85.09355329,4.818535156,5.80236656,4.285544994,16,13639.15041,48.29400253,26378275.39,27,71,52,48
Nigeria,Lower middle income,206139.5938,51.95800018,77.60905338,4.979399343,11.79691148,5.614635794,61.65821003,7.128924583,20.92487535,10.28799004,92.35770519,2.99188065,3.356908786,1.29350537,16,107106.0105,48.04199982,206139593.8,207,78,52,48
Isle of Man,High income,85.03199768,52.89800262,99.075,0,0.925,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,16,44.98022836,47.10199738,85031.99768,1,99,53,47
Trinidad and Tobago,High income,1399.490967,53.2140007,98.87517077,1.124829231,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,16,744.725133,46.7859993,1399490.967,2,99,53,47
Turkmenistan,Upper middle income,6031.187012,52.51600266,100,0,0,0,100,0,0,0,100,0,0,0,16,3167.338332,47.48399734,6031187.012,7,100,53,47
Slovakia,High income,5459.643066,53.75999832,99.78769858,0.2123014241,0,0,100,0,0,0,99.60509406,0.3949059374,0,0,16,2935.104021,46.24000168,5459643.066,6,100,54,46
Romania,High income,19237.68164,54.19400024,100,0,0,0,100,0,0,0,100,0,0,0,16,10425.66923,45.80599976,19237681.64,20,100,54,46
Slovenia,High income,2078.931885,55.11800385,99.5,0,0.5,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,16,1145.865756,44.88199615,2078931.885,3,100,55,45
Mauritania,Lower middle income,4649.660156,55.32699585,71.68104923,13.47689193,14.82032681,0.02173203433,49.9113389,18.49039689,31.5496173,0.04864690722,89.25869465,9.428808083,1.31249727,0,16,2572.517282,44.67300415,4649660.156,5,72,55,45
Syrian Arab Republic,Low income,17500.65625,55.47500229,93.92585718,5.873730768,0.2004120542,0,92.082745,7.917255,0,0,95.40516436,4.233570117,0.361265525,0,16,9708.489455,44.52499771,17500656.25,18,94,55,45
Kiribati,Lower middle income,119.4459991,55.59399796,77.97092085,4.076899625,17.95217953,0,60.99418489,2.096609799,36.90920532,0,91.53117485,5.658666461,2.810158691,0,16,66.4048063,44.40600204,119445.9991,1,78,56,44
Jamaica,Upper middle income,2961.160889,56.31100082,91.0299445,5.367570914,1.864010203,1.738474379,85.39991216,8.490737371,2.568971895,3.540378574,95.39801591,2.944456223,1.317064322,0.34046355,16,1667.459332,43.68899918,2961160.889,3,91,56,44
Serbia,Upper middle income,8737.370117,56.44599915,95.29552932,4.244199279,0.4437204778,0.01655092647,95.84497475,3.545864028,0.5711602866,0.03800093141,94.87156989,4.783037865,0.3453922445,0,16,4931.895862,43.55400085,8737370.117,9,95,56,44
Azerbaijan,Upper middle income,10139.1748,56.39700317,96.04337613,1.04278118,2.913842688,0,90.92579795,2.391535671,6.682666377,0,100,0,0,0,16,5718.190733,43.60299683,10139174.8,11,96,56,44
Fiji,Upper middle income,896.4439697,57.24700546,94.30106524,0,3.318602766,2.380331999,89.08802405,0,5.759897938,5.152078012,98.19424406,0,1.495409344,0.3103465922,16,513.1873283,42.75299454,896443.9697,1,94,57,43
Haiti,Lower middle income,11402.5332,57.08799744,66.6953084,9.814543652,23.49014795,0,42.8457001,13.25598695,43.89831295,0,84.62262129,7.227673879,8.149704835,0,16,6509.477861,42.91200256,11402533.2,12,67,57,43
Ghana,Lower middle income,31072.94531,57.34899902,85.79099665,6.586062113,2.812216176,4.810725058,71.89275005,11.93454827,4.999356483,11.17334519,96.12725952,2.608342455,1.185613803,0.07878421819,16,17820.0231,42.65100098,31072945.31,32,86,57,43
Indonesia,Lower middle income,273523.625,56.64099884,92.41534961,0.8554746335,5.553871666,1.175304087,85.66796238,1.17809123,10.61491462,2.539031772,97.58051207,0.6085098345,1.679615139,0.1313629588,16,154926.5133,43.35900116,273523625,274,92,57,43
North Macedonia,Upper middle income,2083.379883,58.48199844,97.74281579,1.63499414,0.5742284762,0.04796159706,97.46871457,1.505202232,0.9105631982,0.11552,97.93740299,1.727136954,0.3354600563,0,16,1218.402191,41.51800156,2083379.883,3,98,58,42
Croatia,High income,4105.268066,57.55299759,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,100,0,0,0,16,2362.704831,42.44700241,4105268.066,5,NAN,58,42
Honduras,Lower middle income,9904.608398,58.35899734,95.68922113,0.4256206085,3.885158264,0,89.87579955,0.8067095079,9.317490946,0,99.83728281,0.1537015262,0.009015663296,0,16,5780.230152,41.64100266,9904608.398,10,96,58,42
Kazakhstan,Upper middle income,18776.70703,57.67100143,95.43497032,1.941425039,2.545956934,0.07764770471,91.93925234,1.862616064,6.014693049,0.1834385438,98.00073133,1.999268673,0,0,16,10828.71498,42.32899857,18776707.03,19,95,58,42
Cameroon,Lower middle income,26545.86328,57.56000519,65.72041818,12.87474863,15.00100626,6.403826927,43.52758112,12.67259943,30.12380645,13.676013,82.08358486,13.02379677,3.850701351,1.041917019,16,15279.80028,42.43999481,26545863.28,27,66,58,42
Georgia,Upper middle income,3989.175049,59.4529953,97.3481397,0,2.632761379,0.01909892327,94.2718842,0,5.703923618,0.02419218345,99.44615394,0,0.538220742,0.01562531586,16,2371.684054,40.5470047,3989175.049,4,97,59,41
Nicaragua,Lower middle income,6624.554199,59.01200104,81.7087538,1.506645682,13.53053114,3.254069378,59.10744663,3.520974285,29.78017368,7.5914054,97.40695661,0.1075523143,2.244007656,0.2414834229,16,3909.281993,40.98799896,6624554.199,7,82,59,41
Austria,High income,9006.400391,58.7480011,100,0,0,0,100,0,0,0,100,0,0,0,16,5291.080201,41.2519989,9006400.391,10,100,59,41
Poland,High income,37846.60547,60.04300308,99.96659155,0,0.03340844529,0,100,0,0,0,99.94435484,0,0.05564516129,0,16,22724.23849,39.95699692,37846605.47,38,100,60,40
French Polynesia,High income,280.9039917,61.97500229,100,0,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,16,174.0902553,38.02499771,280903.9917,1,100,62,38
Albania,Upper middle income,2877.800049,62.11199951,95.06803883,1.884656092,3.047305081,0,94.09135806,2.305264955,3.603376986,0,95.66380912,1.62808683,2.708104054,0,16,1787.459152,37.88800049,2877800.049,3,95,62,38
Paraguay,Upper middle income,7132.529785,62.18299484,99.59346633,0.4065302439,0.0000034229177,0,99.11122753,0.8887724684,0,0,99.88674854,0.1132514643,0,0,16,4435.220628,37.81700516,7132529.785,8,100,62,38
Democratic People's Republic of Korea,Low income,25778.81445,62.38100052,93.84384303,0.6831311872,5.20969278,0.2633330058,88.75362488,0.3564402606,10.18993486,0.7,96.91351044,0.8801428799,2.206346677,0,16,16081.08238,37.61899948,25778814.45,26,94,62,38
China,Upper middle income,1463140.5,61.71308899,94.26111059,0.8147213297,4.725451938,0.1987161441,89.66123351,1.832679086,8.506087409,0,97.11488267,0.1831784927,2.37993884,0.322,16,902949.1988,38.28691101,1463140500,1464,94,62,38
Gambia,Low income,2416.664063,62.58199692,80.94040714,8.597391391,10.35285207,0.1093493927,69.18852321,16.49783239,14.24376547,0.0698789368,87.96690427,3.873689522,8.026457278,0.1329489253,16,1512.396629,37.41800308,2416664.063,3,81,63,37
Armenia,Upper middle income,2963.233887,63.31299973,99.97118069,0,0.02881930801,0,100,0,0,0,99.95448122,0,0.04551878364,0,16,1876.112263,36.68700027,2963233.887,3,100,63,37
Tuvalu,Upper middle income,11.79199982,64.01399994,100,0,0,0,100,0,0,0,100,0,0,0,16,7.548530758,35.98600006,11791.99982,1,100,64,36
Ireland,High income,4937.795898,63.65299988,97.39970651,0,2.600293485,0,98.13492075,0,1.865079247,0,96.97988603,0,3.020113966,0,16,3143.055217,36.34700012,4937795.898,5,97,64,36
Ecuador,Upper middle income,17643.06055,64.16600037,95.35976356,0.003451463449,2.604485389,2.032299589,87.05074495,0.009631811022,7.26819549,5.671427747,100,0,0,0,16,11320.8463,35.83399963,17643060.55,18,95,64,36
Morocco,Lower middle income,36910.55859,63.53199768,90.40234468,5.263549601,2.8776725,1.456433219,77.34612896,12.03707816,6.623063373,3.993729502,97.89674601,1.375477117,0.7277768759,0,16,23450.01523,36.46800232,36910558.59,37,90,64,36
Suriname,Upper middle income,586.6339722,66.14900208,97.98963167,1.067246941,0.3793365073,0.563784884,96.57441263,1.60029586,0.1598017947,1.66548972,98.71385387,0.7944652371,0.4916808925,0,16,388.0525185,33.85099792,586633.9722,1,98,66,34
Portugal,High income,10196.70703,66.30999756,99.91199367,0,0.08800633369,0,99.73877609,0,0.2612239122,0,100,0,0,0,16,6761.436183,33.69000244,10196707.03,11,100,66,34
Cabo Verde,Lower middle income,555.9879761,66.65200043,88.76960642,7.904150846,3.209147716,0.1170950144,80.11452544,9.911127022,9.623217003,0.3511305397,93.1,6.9,0,0,16,370.5771082,33.34799957,555987.9761,1,89,67,33
Montenegro,Upper middle income,628.0620117,67.48800659,98.85691652,0.5454788204,0.592312011,0.005292650894,98.16188754,0,1.821833386,0.01627906977,99.19173959,0.8082604128,0,0,16,423.8665318,32.51199341,628062.0117,1,99,67,33
Cyprus,High income,1207.360962,66.82099915,99.76517318,0,0.2348268167,0,99.84576172,0,0.1542382836,0,99.72515812,0,0.2748418825,0,16,806.7706582,33.17900085,1207360.962,2,100,67,33
Angola,Lower middle income,32866.26953,66.82499695,57.16773762,9.287349919,19.45082534,14.09408712,27.80822661,8.740488389,22.93315258,40.51813242,71.74314862,9.558837489,17.72203473,0.9759791629,16,21962.88361,33.17500305,32866269.53,33,57,67,33
South Africa,Upper middle income,59308.69141,67.35400391,93.88505744,2.772736186,1.410816657,1.931389712,83.32948118,6.977359359,3.776999287,5.916160173,99.00126484,0.734785403,0.2639497547,0,16,39946.77833,32.64599609,59308691.41,60,94,67,33
Latvia,High income,1886.202026,68.31500244,98.78260115,0.6823007424,0.5350981037,0,98.57922314,0,1.42077686,0,98.87692469,0.9987568151,0.1243184908,0,16,1288.55896,31.68499756,1886202.026,2,99,68,32
Lithuania,High income,2722.291016,68.04599762,98.01334724,0,1.98665276,0,93.78278023,0,6.217219771,0,100,0,0,0,16,1852.41008,31.95400238,2722291.016,3,98,68,32
Panama,High income,4314.768066,68.41400146,94.37254436,1.873480592,2.262304247,1.491670799,86.32308326,1.791982583,7.162364342,4.722569811,98.08889267,1.911107333,0,0,16,2951.905488,31.58599854,4314768.066,5,94,68,32
Congo,Lower middle income,5518.091797,67.82900238,73.78451158,10.46117203,9.559180722,6.195135664,45.72441318,10.6323901,24.40516973,19.23802699,87.09329616,10.37996439,2.517789997,0.008949452055,16,3742.866616,32.17099762,5518091.797,6,74,68,32
